id	source_class	disposition	target	name
CAP-070	A	PRESERVE	P13	Reboot checkpoint reconciliation after boot change
CAP-071	A	PRESERVE	P13	Synchronous reboot-command failure persistence
CAP-072	A	PRESERVE	P12	Diagnostic snapshot persistence
CAP-073	A	PRESERVE	P12	Separate MCP/tunnel service snapshots
CAP-074	A	PRESERVE	P12	Per-process RSS
CAP-075	A	PRESERVE	P12	Per-process PSS
CAP-076	A	PRESERVE	P12	Process age/cgroup membership
CAP-077	A	PRESERVE	P12	MCP/tunnel cgroup memory separation
CAP-078	A	PRESERVE	P12	cgroup memory events
CAP-079	A	PRESERVE	P12	Host `/proc/meminfo` evidence
CAP-080	A	PRESERVE	P12	Host CPU/memory/IO PSI evidence
CAP-081	A	PRESERVE	P12	Diagnostic secret redaction
CAP-082	A	PRESERVE	P12	Current MCP discovery/protocol probe in diagnostics
CAP-083	A	PRESERVE	P12	Current tunnel health/readiness probe in diagnostics
CAP-084	A	PRESERVE	P12	`local_mcp_5xx` classification
CAP-085	A	PRESERVE	P12	`tunnel_control_plane_5xx` classification
CAP-086	A	PRESERVE	P12	`tunnel_poll_timeout` classification
CAP-087	A	PRESERVE	P12	MCP process-down/restart classification
CAP-088	A	PRESERVE	P12	Memory-pressure classification
CAP-089	A	PRESERVE	P12	Distinguish local MCP incident from tunnel/control-plane incident
CAP-090	A	PRESERVE	P11	Exact MCP saturation signature `503 maximum HTTP session count reached`
CAP-091	A	PRESERVE	P11	30-second admission guard
CAP-092	A	PRESERVE	P11	120-second recovery cooldown
CAP-093	A	PRESERVE	P11	Restart only on exact saturation signature
CAP-094	A	PRESERVE	P11	Persisted admission-recovery evidence
CAP-095	A	PRESERVE	P8	RO external-folder config in setup
CAP-096	A	PRESERVE	P8	RW external-folder config in setup
CAP-097	A	PRESERVE	P8	`access list`
CAP-098	A	PRESERVE	P8	`access add-ro`
CAP-099	A	PRESERVE	P8	`access add-rw`
CAP-100	A	PRESERVE	P8	`access remove`
CAP-101	A	PRESERVE	P8	`.workspace-mcp-access/<alias>` mountpoints
CAP-102	A	PRESERVE	P8	RO via `BindReadOnlyPaths=`
CAP-103	A	PRESERVE	P8	RW via `BindPaths=`
CAP-104	A	PRESERVE	P8	`PrivateUsers=true` when extra mounts exist
CAP-105	A	PRESERVE	P8	Access namespace preflight fails closed
CAP-106	A	PRESERVE	P8	Access config change requires regenerated unit before start
CAP-107	A	PRESERVE	P8	Extra folder alias/source validation
CAP-108	A	PRESERVE	P8	Access-root ownership marker and protected cleanup
CAP-109	A	PRESERVE	P8	Keep `.workspace-mcp-access` from dirtying Git
CAP-110	A	PRESERVE	P8	Live user-systemd RO/RW enforcement test
CAP-111	B	PRESERVE	P4/P7	WSL `GH_CONFIG_DIR` in MCP service
CAP-112	B	PRESERVE	P4/P7	WSL `CODING_TOOLS_MCP_EXEC_ALLOW_ROOTS` in MCP service
CAP-113	B	PRESERVE	P10	Landlock access to configured WSL Codex installation
CAP-114	B	PRESERVE	P9	GitHub CLI auth diagnostic
CAP-115	B	PRESERVE	P9	Git identity diagnostic
CAP-116	B	PRESERVE	P12	Time-aware tunnel-log classification
CAP-117	C	DEFER	Post-MVP	Create/manage per-instance `GH_CONFIG_DIR`
CAP-118	C	EXTERNAL	N/A	`gh auth login` / PAT onboarding
CAP-119	C	DEFER	Post-MVP	Configure Git repo identity
CAP-120	C	DEFER	Post-MVP	Configure repository credential helper / protocol
CAP-121	C	DEFER	P15	Install/configure Codex CLI
CAP-122	C	DEFER	P15	Install/configure `gh`
CAP-123	C/D	DEFER	P15/Post-MVP	SSH/GPG-agent setup
CAP-124	D	EXTERNAL	N/A	SSH private keys
CAP-125	D	EXTERNAL	N/A	SSH known-host database
CAP-126	D	EXTERNAL	N/A	Actual GitHub PAT/OAuth token
CAP-127	D	EXTERNAL	N/A	Codex authentication/session data
CAP-128	D	EXTERNAL	N/A	Tunnel `CONTROL_PLANE_API_KEY` value
CAP-129	D	EXTERNAL	N/A	Host-specific global Git URL rewrite
CAP-130	C/D	EXTERNAL	N/A	ChatGPT custom MCP app/plugin object
